Player,Country,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
Giovanni Mpetshi Perricard,[FRA],43,22-21,51.2%,69.8%,67.2%,716,20.0%,211,5.9%,16.8%,64.9%,78.4%,53.7%,64.5%,89.4%,6.3,1.9
Alex Michelsen,[USA],67,38-29,56.7%,64.1%,63.9%,303,6.0%,149,2.9%,9.1%,67.9%,70.5%,50.7%,55.8%,80.3%,6.5,2.3
Tallon Griekspoor,[NED],68,38-30,55.9%,67.2%,66.3%,607,10.7%,227,4.0%,11.3%,64.8%,75.4%,52.1%,58.8%,85.8%,6.4,2.1
Flavio Cobolli,[ITA],60,32-28,53.3%,63.0%,63.1%,325,6.6%,203,4.1%,9.1%,54.6%,71.9%,52.2%,57.4%,79.3%,6.6,2.4
Sebastian Baez,[ARG],52,24-28,46.2%,59.8%,60.1%,106,2.6%,91,2.2%,8.0%,72.6%,63.4%,50.4%,54.8%,71.7%,6.6,2.7
Jiri Lehecka,[CZE],46,27-19,58.7%,65.3%,63.7%,362,10.7%,120,3.5%,8.7%,59.5%,75.1%,51.0%,55.9%,83.8%,6.4,2.2
Jordan Thompson,[AUS],44,26-18,59.1%,65.2%,62.9%,323,9.7%,69,2.1%,5.1%,59.5%,73.6%,53.0%,55.9%,80.3%,6.1,2.1
Matteo Arnaldi,[ITA],49,25-24,51.0%,61.7%,60.9%,342,8.1%,158,3.7%,8.6%,56.6%,70.5%,50.4%,55.1%,77.5%,6.6,2.5
Alexandre Muller,[FRA],46,24-22,52.2%,60.9%,60.7%,155,4.1%,84,2.2%,6.8%,67.3%,67.1%,48.3%,51.9%,74.6%,6.6,2.6
Nuno Borges,[POR],51,26-25,51.0%,63.2%,62.7%,286,7.1%,143,3.6%,10.1%,64.7%,70.1%,50.5%,56.2%,78.1%,6.4,2.4
Gael Monfils,[FRA],44,29-15,65.9%,66.6%,66.4%,435,11.5%,210,5.6%,14.1%,60.4%,76.8%,50.9%,59.2%,84.6%,6.2,2.1
Marcos Giron,[USA],55,30-25,54.5%,63.9%,62.5%,300,6.7%,83,1.9%,4.6%,59.6%,72.6%,51.0%,53.4%,80.5%,6.5,2.3
Lorenzo Sonego,[ITA],49,22-27,44.9%,66.0%,65.2%,301,7.5%,109,2.7%,8.1%,66.4%,73.7%,51.0%,55.5%,84.2%,6.3,2.1
Luciano Darderi,[ITA],51,21-30,41.2%,62.5%,61.6%,292,7.6%,128,3.3%,8.3%,59.8%,70.0%,51.3%,55.9%,77.1%,6.5,2.5
Miomir Kecmanovic,[SRB],54,26-28,48.1%,65.1%,64.7%,255,5.9%,115,2.7%,6.9%,61.4%,73.4%,51.7%,55.6%,81.3%,6.3,2.2
David Goffin,[BEL],42,22-20,52.4%,60.0%,59.9%,199,6.1%,126,3.8%,9.1%,57.8%,69.0%,47.8%,52.5%,71.4%,6.6,2.6
Pedro Martinez,[ESP],51,19-32,37.3%,58.9%,60.9%,91,2.5%,179,4.9%,16.3%,70.1%,64.5%,45.7%,54.6%,70.2%,6.5,2.7
Zizou Bergs,[BEL],54,31-23,57.4%,65.0%,64.3%,347,8.5%,150,3.7%,9.6%,61.5%,73.1%,52.0%,57.5%,80.8%,6.3,2.2
Quentin Halys,[FRA],31,15-16,48.4%,67.2%,64.8%,409,15.4%,125,4.7%,11.3%,58.4%,79.6%,49.7%,56.1%,85.7%,6.3,2.1
